,Internship_ID,Student_ID,Is_Shortlisted
0,9341,7677714,0
1,6426,7696418,0
2,5812,78666725,0
3,10711,7705454,0
4,5880,7711946,0
5,6414,7690331,0
6,7538,7701494,0
7,6188,7692492,0
8,10758,7712242,0
9,9112,78661462,0
10,11429,7660519,0
11,10711,7657237,0
12,8635,78664749,0
13,11437,7660111,0
14,11261,7659951,0
15,5075,7680848,0
16,4879,7691935,0
17,8702,7704500,0
18,7899,7675058,0
19,6632,7699420,0
20,5149,7660424,0
21,10728,7690009,1
22,11418,7710937,0
23,7811,78663311,0
24,6188,78668423,0
25,8527,7704695,0
26,7238,7706953,0
27,6552,7692984,0
28,6493,7681120,0
29,7855,78662939,0
30,6188,78666459,0
31,5151,7661095,0
32,6283,7706632,0
33,11341,7696391,0
34,8661,78659893,0
35,8527,7662376,0
36,9339,78666203,0
37,9246,7661760,0
38,7279,78655118,0
39,6561,7691646,0
40,5229,7697750,0
41,5816,7685068,0
42,10643,7660476,0
43,11286,7655818,0
44,10687,78664664,0
45,5783,78662222,0
46,8676,7656963,0
47,9197,7656533,0
48,7288,78663967,0
49,6632,7663784,0
50,7935,7682820,0
51,7670,7684859,0
52,10369,7659585,0
53,10704,78658558,0
54,7563,78662751,0
55,6632,78666795,0
56,8663,7661817,0
57,5847,7673736,0
58,5879,7663020,0
59,7269,7704423,0
60,9975,7710975,0
61,8527,7667473,0
62,9112,7654510,0
63,7973,7687704,0
64,11444,7668194,0
65,10664,7672904,0
66,8481,78660865,0
67,11370,78668210,0
68,9197,7689520,0
69,7229,78661575,0
70,9893,7691432,0
71,8527,7670808,0
72,9290,7707153,0
73,5074,7702132,0
74,9911,78659973,0
75,9992,78661976,0
76,6485,7665840,0
77,5122,7660495,0
78,8366,7659847,0
79,11424,7664265,0
80,7908,7656418,0
81,8594,78662825,0
82,6609,7684560,0
83,7968,7686961,0
84,10369,78656494,0
85,7970,7656777,1
86,8595,78655405,0
87,11399,7674302,0
88,9284,7664278,0
89,9104,7679008,0
90,7845,7681120,0
91,7752,78668202,0
92,5213,7711837,0
93,11428,7689978,0
94,9975,7680682,0
95,9714,78667021,0
96,7220,7678571,0
97,9981,78655630,0
98,6394,7706277,0
99,9333,7655967,0
100,8579,7660592,0
101,11222,7690804,0
102,10738,7687793,0
103,9284,7696656,0
104,7978,7682514,0
105,10641,7710761,0
106,9911,7701595,0
107,9251,7665057,0
108,7912,7684579,0
109,7949,7712098,0
110,7216,7674299,0
111,8501,7687160,0
112,11444,7684773,0
113,9950,78657345,0
114,9935,7668373,0
115,6426,78667095,0
116,11323,7661486,0
117,9340,7691334,0
118,9934,7707393,0
119,6579,7699844,0
120,7784,7698292,0
121,9229,78659828,0
122,7845,78665404,0
123,9190,7657741,0
124,7929,7668310,0
125,7236,7655280,0
126,9345,7659399,0
127,4990,7679302,0
128,6439,7688512,0
129,5662,78660549,0
130,5923,7674904,0
131,9348,7675935,0
132,8703,7690228,0
133,11424,78665040,0
134,6331,7698391,0
135,10656,7688468,0
136,5166,7700624,0
137,10701,78661442,0
138,9924,7700797,0
139,5087,7682447,0
140,5183,78667268,0
141,5165,7690885,0
142,11342,7707531,0
143,8530,7674831,0
144,7220,7688542,0
145,10398,7692589,0
146,5831,7695525,0
147,6536,78655770,0
148,9334,7675649,0
149,8366,7655477,0
150,7845,7664732,0
151,8616,7675195,0
152,8518,7694907,0
153,7151,7667971,0
154,5166,7656324,0
155,9969,7711678,0
156,10008,78661139,0
157,8668,78668596,0
158,6426,7703590,0
159,9855,7689238,0
160,7261,7700650,0
161,5662,78667330,0
162,6632,7711924,0
163,7237,7693439,0
164,9744,7686868,0
165,5087,78664364,0
166,9798,7693907,0
167,6584,7677760,0
168,5898,7683449,0
169,5847,7682516,0
170,9212,7657421,0
171,11455,7712496,0
172,11410,78668103,1
173,8341,78662144,0
174,8674,7696259,0
175,9856,7671940,0
176,8341,7705085,0
177,10738,78654615,0
178,5097,7699880,0
179,5880,7692600,0
180,7230,7704841,0
181,9856,7696486,0
182,4789,78666737,0
183,6602,7662343,0
184,6440,7662902,0
185,9850,7702887,0
186,6569,7699790,0
187,10711,7665425,0
188,7929,7681904,0
189,7842,7675140,0
190,9935,78663805,0
191,7216,7697886,0
192,7269,7706571,0
193,8614,78660840,0
194,7170,78666440,0
195,5183,7684459,0
196,7254,7664391,0
197,8569,7688598,0
198,5662,7699718,0
199,7916,7706621,0
200,7244,7702439,0
201,7906,7668546,0
202,8580,78656736,0
203,8693,7705879,0
204,7889,7704577,0
205,10766,7702058,0
206,5911,78665509,0
207,5632,7681016,0
208,9345,7683256,0
209,6538,7660554,0
210,7935,7700951,0
211,5838,7709741,0
212,9197,7682496,0
213,5811,78665317,0
214,6407,7675265,0
215,5899,7675140,0
216,9197,7682326,0
217,9865,7680382,0
218,11294,7672516,0
219,9213,7661909,0
220,8685,7658989,0
221,11337,7711553,0
222,9821,78657121,0
223,11261,78654584,0
224,6605,78662561,0
225,9946,7689445,0
226,9891,78657691,0
227,8594,7675135,0
228,8366,7673007,0
229,7206,7697458,0
230,10699,78666502,0
231,10672,7690208,0
232,9284,7682533,0
233,6584,7657770,0
234,10609,7671086,0
235,5856,78659281,0
236,5087,7660846,0
237,6345,7663276,0
238,6188,7666904,0
239,6520,78663311,0
240,6569,78655054,0
241,5087,78667816,0
242,9318,78665511,0
243,8567,7687186,0
244,5760,7667882,0
245,8705,78668400,0
246,7911,7660809,0
247,9112,7674069,0
248,6536,7667746,0
249,5038,7668789,0
250,5880,7711426,0
251,7282,78654534,0
252,8588,7703533,0
253,5236,78661206,0
254,10753,7689249,0
255,7230,7682435,0
256,9885,7661622,0
257,5812,7668053,0
258,10484,7667565,0
259,8699,78660765,0
260,7250,7659938,0
261,9236,7670774,0
262,7204,7667953,0
263,9205,7663647,0
264,5853,7677364,0
265,9969,7689366,0
266,10672,7696091,0
267,9243,7695114,0
268,10025,7669718,0
269,8703,7664329,0
270,5924,7661523,0
271,5932,7668465,0
272,9183,7668222,0
273,5749,7668362,0
274,5662,7680040,0
275,10991,78663468,0
276,6415,78668549,0
277,6331,7684219,0
278,7900,7689644,0
279,8609,7682328,0
280,10743,7690828,0
281,7523,78657821,0
282,6473,7674044,0
283,11274,7699059,0
284,9284,7681406,0
285,5087,7681757,0
286,5853,7675890,0
287,8253,7699880,0
288,7260,7704611,0
289,5211,7700650,0
290,5502,7673844,0
291,11363,7675140,0
292,7279,7685218,0
293,5855,7654727,0
294,11408,7666735,0
295,10428,78666607,0
296,5178,78658233,0
297,7903,78654392,0
298,10428,7669626,0
299,11458,7659890,0
300,9858,7711035,0
301,8682,7701670,0
302,7868,7676026,0
303,7935,7706974,0
304,11361,78655428,0
305,7977,7694912,0
306,8549,7686903,0
307,10428,7680779,0
308,10761,7712207,0
309,9339,78668400,0
310,11329,7671621,0
311,9234,7703969,0
312,5794,7692124,0
313,10046,7694631,0
314,7187,7658339,0
315,6435,7667548,0
316,7230,7690706,0
317,7963,7661142,0
318,11372,7688838,0
319,10369,7659351,0
320,11320,7698620,0
321,7913,7698060,0
322,11437,7677903,0
323,9285,7708293,0
324,7220,78655658,0
325,6985,7670793,0
326,6551,78662931,0
